record_id	name	mrp_id	cms_status	marketplace_status
rec1RHOx5lydtJrVg	Ampul	6879c34dc9ea5589d8cbe005	Active	3️⃣Published🚀
rec1SS1ZcPxcZsZgL	Nexofy.	686d969307bf9206239f9e37	Active	3️⃣Published🚀
rec1TQKxDcapzLRXc	Vibely	67fc8900d3ee9b1a6f26a3f8	Active	3️⃣Published🚀
rec1Tld5A4sripN6e	LittleChamp	67c5d8de0bde90726c5f559b	Active	3️⃣Published🚀
rec1U3v41H1U77ozB	Ventra	61659ceb5bd48523b72d9d42	Active	3️⃣Published🚀
rec1V7JJi5NHDLeaV	Obitro	68e3d3c176f95ed0d7132871	Active	3️⃣Published🚀
rec1VZxEBgfKodRw9	Oxigan	69120af169151ea37bd4b9db	Active	3️⃣Published🚀
rec1VqUf0t9kVZRTI	Graphicfolio X	6386d893497f3b88e67ae351	Active	3️⃣Published🚀
rec1W6KkdmELtUpkw	Verve	64fb5fcfea41c752a4d2aef2	Active	3️⃣Published🚀
rec1WSVwQB9Bsp5tD	Fuzion Archived c0v75s8n	65b2de7d4c3c2332e7059daa	Archived	4️⃣Delisted☠️
rec1WUniam30bmMP4	HouseMarket	686d62bb4ce63af36f293638	Active	3️⃣Published🚀
rec1WimSgEiAbF92X	Concept Lab	63d92c3a1e7899f51da62fbb	Active	3️⃣Published🚀
rec1WwLezvFzAItKg	Simple	596d2735f8f0c567fb359ce1	Active	3️⃣Published🚀
rec1XEnwftLcJnz4S	SaaSlab	6749ca977d60a10a4716b539	Active	3️⃣Published🚀
rec1XRfY3dUTCYQKh	Avexa	68890a12a26fe0498d311447	Active	3️⃣Published🚀
rec1Y8TeFfgknPxqT	Supify	67d3497f9be18bb379c6b2c6	Active	3️⃣Published🚀
rec1YOaQAY0kopz7P	Enhance. Archived e8ukuluo	66d9aa437249875d5ffdf92f	Archived	4️⃣Delisted☠️
rec1ZC290zuDEKT4y	Cargo+	69487bdcfb9dfcbb7e6e5d4d	Active	3️⃣Published🚀
rec1ZKhBziNeEvNpx	Adency	652068f0fee53d05890418ef	Active	3️⃣Published🚀
rec1ZedKCDbWdpFkH	Marketinx	652811627d98ec7113e4c831	Active	3️⃣Published🚀
rec1ZxhEsWU7N3lUY	Sasninja	655f8aa1f93d075463329f21	Active	3️⃣Published🚀
